,prompt,layer,head,head_output,model
6,Elephants are the largest land mammal on,8,6,"[ 4.2844205   4.4454074   2.3772292  ... -0.7146     -0.09690845
  4.3204894 ]",gpt2-small
7,Elephants are the largest land mammal on,8,7,[4.0255117  3.7896082  2.0663798  ... 0.08453453 0.8684542  4.136704  ],gpt2-small
8,Elephants are the largest land mammal on,8,8,[ 4.466507   4.1346636  2.0506167 ... -1.849888   0.7544725  4.4028907],gpt2-small
9,Elephants are the largest land mammal on,8,9,[ 4.146159   3.428411   3.0154412 ... -2.3163242 -1.6668227  7.277714 ],gpt2-small
10,Elephants are the largest land mammal on,8,10,[ 4.409096   4.3648133  5.1919837 ... -2.4092011 -1.9369737  3.3202891],gpt2-small
11,Elephants are the largest land mammal on,8,11,"[ 3.6424253   3.5976028   1.2561345  ... -1.2280786   0.06487834
  3.923938  ]",gpt2-small
0,Elephants are the largest land mammal on,9,0,[ 4.0059443  4.1505938  2.0263424 ... -0.5413564 -0.6320985  3.9568427],gpt2-small
1,Elephants are the largest land mammal on,9,1,"[ 4.6344943   4.4780064   2.8669453  ... -0.66338634  0.0992226
  4.9928484 ]",gpt2-small
2,Elephants are the largest land mammal on,9,2,"[ 4.156014    4.047823    2.3479757  ... -0.7548844  -0.06664705
  4.3178625 ]",gpt2-small
3,Elephants are the largest land mammal on,9,3,[3.3161016  2.617131   1.1752417  ... 0.42558074 0.157211   4.132251  ],gpt2-small
4,Elephants are the largest land mammal on,9,4,"[ 4.1038637   2.905594    2.0468435  ... -1.0705963  -0.51160717
  4.7548027 ]",gpt2-small
5,Elephants are the largest land mammal on,9,5,[ 4.972081   6.585099   1.8525367 ... -3.6760128 -2.554854   4.585367 ],gpt2-small
6,Elephants are the largest land mammal on,9,6,[ 3.4679892  3.6140118  1.4080226 ... -0.8636248 -1.387687   3.6281674],gpt2-small
7,Elephants are the largest land mammal on,9,7,"[ 4.588797    4.6151814   1.9105257  ... -0.41624847 -0.04749954
  3.3535423 ]",gpt2-small
8,Elephants are the largest land mammal on,9,8,"[ 4.5218425   4.08743     2.1272771  ... -1.1466614  -0.44089043
  4.1589184 ]",gpt2-small
9,Elephants are the largest land mammal on,9,9,[ 3.8929453  4.055567   2.4697332 ... -2.1435668 -0.6492886  4.4624257],gpt2-small
10,Elephants are the largest land mammal on,9,10,[ 5.1044126  3.6243577  1.9885178 ... -0.7852448  0.4959048  4.0055804],gpt2-small
11,Elephants are the largest land mammal on,9,11,"[ 4.387953    3.8844166   0.5399635  ... -0.75168973 -0.37863025
  4.098407  ]",gpt2-small
0,Elephants are the largest land mammal on,10,0,[ 4.145943   4.1967916  2.0059216 ...  0.4104724 -1.524535   4.3358035],gpt2-small
1,Elephants are the largest land mammal on,10,1,"[ 4.6202774   3.9635625   1.9992824  ... -0.6635914  -0.03548396
  4.6089907 ]",gpt2-small
2,Elephants are the largest land mammal on,10,2,"[ 4.192858    4.8470154   0.08067691 ... -0.21334696  0.43177855
  4.381194  ]",gpt2-small
3,Elephants are the largest land mammal on,10,3,"[ 4.1957164   5.1068897   2.2656918  ... -0.93206966 -0.16109216
  4.338959  ]",gpt2-small
4,Elephants are the largest land mammal on,10,4,"[ 4.0600305   0.40621543  1.7584301  ... -1.2801412  -0.14705041
  1.8550673 ]",gpt2-small
5,Elephants are the largest land mammal on,10,5,"[ 5.1325274   4.1107807   1.7346566  ... -0.47907582 -0.5707097
  4.558868  ]",gpt2-small
6,Elephants are the largest land mammal on,10,6,[ 4.001796   4.5005474  2.195157  ... -2.7614477  1.3755178  4.5388913],gpt2-small
7,Elephants are the largest land mammal on,10,7,"[ 3.4985728   4.968952    3.3600297  ...  0.88074696 -2.9724123
  4.0911684 ]",gpt2-small
8,Elephants are the largest land mammal on,10,8,"[ 3.3467054   3.713973    1.8085899  ... -0.83854634 -0.67570084
  3.9394617 ]",gpt2-small
9,Elephants are the largest land mammal on,10,9,"[ 5.269191    4.335778    2.1266928  ...  0.56749654 -1.014785
  4.349488  ]",gpt2-small
10,Elephants are the largest land mammal on,10,10,[ 3.9469812  3.8377469  2.1461496 ... -1.9503047 -1.3859422  3.9576416],gpt2-small
11,Elephants are the largest land mammal on,10,11,"[ 4.1789827   3.7056684   1.5982537  ... -0.75027543 -0.02977622
  4.1774135 ]",gpt2-small
0,Elephants are the largest land mammal on,11,0,[3.1670523 6.6076593 2.7208173 ... 0.6272998 2.8045025 3.630352 ],gpt2-small
1,Elephants are the largest land mammal on,11,1,[ 4.356629   4.230911   1.8046852 ... -1.6774211 -1.0402051  5.70448  ],gpt2-small
2,Elephants are the largest land mammal on,11,2,[ 5.018292   4.5526485  2.8305607 ... -0.6714593  0.260799   5.754088 ],gpt2-small
3,Elephants are the largest land mammal on,11,3,[ 4.4029703  3.5565524  2.6822047 ... -1.6402497  1.8713388  3.8886096],gpt2-small
4,Elephants are the largest land mammal on,11,4,[ 2.7075865  2.152298  -0.5369642 ... -0.729512  -1.1902958  2.108146 ],gpt2-small
5,Elephants are the largest land mammal on,11,5,"[ 3.2495828   3.8668895   1.6608229  ... -0.66119576 -0.53008866
  3.2836888 ]",gpt2-small
6,Elephants are the largest land mammal on,11,6,"[ 3.7367258   4.602364    1.6444565  ... -0.78341484 -0.38229662
  4.66712   ]",gpt2-small
7,Elephants are the largest land mammal on,11,7,[ 3.2459831  3.903224   2.8853447 ... -0.6713418  0.1496954  4.1995873],gpt2-small
8,Elephants are the largest land mammal on,11,8,[ 6.301652   6.761014   1.0686904 ... -1.2606173  0.5925505 10.052198 ],gpt2-small
9,Elephants are the largest land mammal on,11,9,[ 4.7551875  4.94277    2.8004317 ... -1.7875836 -0.3042393  4.598609 ],gpt2-small
10,Elephants are the largest land mammal on,11,10,"[ 3.214414    3.360245    1.2933716  ... -0.6807461  -0.77259207
  3.4226837 ]",gpt2-small
11,Elephants are the largest land mammal on,11,11,"[ 3.6477823   4.3836637   2.3175263  ...  0.5900583  -0.78176045
  5.2027097 ]",gpt2-small
0,Barack Obama was a member of the,0,0,[3.247509   4.2187862  1.6743747  ... 0.0897553  0.42235243 3.0573366 ],gpt2-small
1,Barack Obama was a member of the,0,1,[ 0.9783888  2.3127496  0.8080548 ... -2.2740383 -1.7714014  1.9622536],gpt2-small
2,Barack Obama was a member of the,0,2,"[ 5.5071034   5.405116    2.6619763  ... -0.03047109 -0.2742795
  4.5852675 ]",gpt2-small
3,Barack Obama was a member of the,0,3,"[ 2.9478774   3.1449769   0.75329435 ... -0.55583686  0.15879297
  3.1399548 ]",gpt2-small
4,Barack Obama was a member of the,0,4,[ 4.1852293  4.192784   3.4958835 ... -1.0041715 -0.9739493  4.605979 ],gpt2-small
5,Barack Obama was a member of the,0,5,"[ 2.8573833   3.5742912   1.2074604  ... -0.37515384 -0.42158103
  4.0361567 ]",gpt2-small
6,Barack Obama was a member of the,0,6,[ 2.9963422  3.3962626  1.9210411 ...  1.1857777 -2.6484556  4.602839 ],gpt2-small
7,Barack Obama was a member of the,0,7,[ 2.865531   3.8941412  1.2255868 ... -2.669176  -0.8517873  3.5827522],gpt2-small
8,Barack Obama was a member of the,0,8,"[ 2.5657964   4.4950695   0.82976174 ... -3.7893672   0.7153317
  2.7338324 ]",gpt2-small
9,Barack Obama was a member of the,0,9,[ 2.4351075  3.6210253  2.7168365 ... -2.2529707  3.2200472  1.7575464],gpt2-small
10,Barack Obama was a member of the,0,10,"[ 5.0021772   4.154196    2.921516   ... -0.44068164 -0.4672761
  3.7185936 ]",gpt2-small
11,Barack Obama was a member of the,0,11,"[ 3.295292    6.009987    4.28424    ... -0.59652114 -1.8598006
  2.5008578 ]",gpt2-small
0,Barack Obama was a member of the,1,0,"[ 4.297986    4.0353312   1.9039192  ... -0.97506905 -0.3580467
  4.2808833 ]",gpt2-small
1,Barack Obama was a member of the,1,1,"[ 3.8187816   3.9554725   1.4646484  ... -1.1528714  -0.63841486
  3.2842684 ]",gpt2-small
2,Barack Obama was a member of the,1,2,"[ 2.7391424   2.3389282   1.887505   ... -0.25319195  1.2823069
  2.8567433 ]",gpt2-small
3,Barack Obama was a member of the,1,3,"[ 4.882405    5.365864    3.517497   ... -0.7165349   0.55330515
  4.3347025 ]",gpt2-small
4,Barack Obama was a member of the,1,4,"[ 2.4354606   4.094831    1.6807759  ... -0.28716284 -1.8984356
  3.8484821 ]",gpt2-small
5,Barack Obama was a member of the,1,5,"[ 4.0069838   1.6255198   0.707217   ... -0.39153636  0.6613953
  4.0778937 ]",gpt2-small
6,Barack Obama was a member of the,1,6,[ 2.5906658  3.6652796  1.8428316 ... -0.7003615 -1.3169326  3.9004555],gpt2-small
7,Barack Obama was a member of the,1,7,[ 4.3750334  6.838582   3.2980933 ... -2.55229   -0.265298   2.8849807],gpt2-small
8,Barack Obama was a member of the,1,8,[ 5.0107236  5.131449   2.2511265 ... -1.442148  -1.6089615  4.5221157],gpt2-small
9,Barack Obama was a member of the,1,9,[ 3.3932981  4.387289   1.7464542 ... -1.2391181 -0.4190394  3.6401315],gpt2-small
10,Barack Obama was a member of the,1,10,"[ 2.4612155   2.6183665   1.8920615  ... -0.61772394  0.41587198
  4.056674  ]",gpt2-small
11,Barack Obama was a member of the,1,11,"[ 2.9295611   3.8310087   2.8211048  ... -0.52013457 -1.5243323
  4.9796844 ]",gpt2-small
0,Barack Obama was a member of the,2,0,"[ 5.0814395   4.849369    2.0068078  ... -2.0672004   0.01304805
  5.366934  ]",gpt2-small
1,Barack Obama was a member of the,2,1,"[ 3.8185904   4.2755656   2.4735172  ... -0.7868217  -0.99347585
  3.679752  ]",gpt2-small
2,Barack Obama was a member of the,2,2,[ 3.9010663  4.1954303  2.9346828 ... -0.8060788 -1.1043991  4.4086757],gpt2-small
3,Barack Obama was a member of the,2,3,[ 3.455039   3.0232172  2.9378052 ... -0.8467574 -1.7442801  4.3562016],gpt2-small
4,Barack Obama was a member of the,2,4,"[ 5.7594247   5.262275    2.6034222  ... -2.5167813  -0.16201451
  6.081311  ]",gpt2-small
5,Barack Obama was a member of the,2,5,"[ 4.844282    4.9495783   1.3906943  ... -0.8884955  -0.46551925
  4.4169483 ]",gpt2-small
6,Barack Obama was a member of the,2,6,"[ 2.8394122   4.576       0.9808817  ... -0.78089523 -1.114735
  3.6945875 ]",gpt2-small
7,Barack Obama was a member of the,2,7,[ 4.930889   5.216174   3.313641  ... -1.5373445 -0.523208   4.2190084],gpt2-small
8,Barack Obama was a member of the,2,8,"[ 3.4007595   4.168529    0.90907264 ... -1.669199   -0.54832983
  3.121222  ]",gpt2-small
9,Barack Obama was a member of the,2,9,"[ 3.6528091   3.8401492   3.1175022  ... -0.6841341   0.23277503
  2.676896  ]",gpt2-small
10,Barack Obama was a member of the,2,10,[ 2.459046   2.2480402  2.4046903 ...  1.629034  -1.7933261  1.49646  ],gpt2-small
11,Barack Obama was a member of the,2,11,"[ 4.2147512   4.5389304   1.2720892  ... -1.207174   -0.20196867
  4.7625985 ]",gpt2-small
0,Barack Obama was a member of the,3,0,[ 4.1100497  3.8255374  1.2294538 ... -1.5500215 -1.6900471  3.995895 ],gpt2-small
1,Barack Obama was a member of the,3,1,"[ 2.9914603   3.1537187   2.119359   ... -0.33630306 -0.73811996
  4.1984873 ]",gpt2-small
2,Barack Obama was a member of the,3,2,[ 4.010963   3.9473982  2.5441818 ... -1.3531504 -0.4228944  5.1916666],gpt2-small
3,Barack Obama was a member of the,3,3,[ 4.8595552  5.585881   2.9024687 ... -3.3452566 -0.7397345  5.322568 ],gpt2-small
4,Barack Obama was a member of the,3,4,"[ 3.8006997   5.107595    3.1660557  ... -0.5671689   0.35279667
  4.477483  ]",gpt2-small
5,Barack Obama was a member of the,3,5,[ 3.6741285  4.374968   2.5928402 ... -1.5487821 -1.1426241  3.861234 ],gpt2-small
6,Barack Obama was a member of the,3,6,"[ 4.07508     4.728448    2.5472085  ... -1.4032084  -0.07455516
  4.2156734 ]",gpt2-small
7,Barack Obama was a member of the,3,7,"[ 3.9783213   4.193802    3.207119   ... -0.5399524  -0.87870073
  3.0749216 ]",gpt2-small
8,Barack Obama was a member of the,3,8,[ 4.636228   4.7337565  1.2590684 ... -1.463243  -0.612226   4.626971 ],gpt2-small
9,Barack Obama was a member of the,3,9,[ 4.4063134  3.9985936  1.5917693 ... -1.5816904 -2.06249    4.2687197],gpt2-small
10,Barack Obama was a member of the,3,10,"[ 3.2014794   3.7319431   1.4969864  ...  0.8191159  -0.15690646
  3.3674493 ]",gpt2-small
11,Barack Obama was a member of the,3,11,[ 4.0450273  3.8307083  0.8286052 ... -0.3673656 -1.4107773  3.9257267],gpt2-small
0,Barack Obama was a member of the,4,0,[ 4.3764577  4.640195   2.6341617 ... -3.3819685 -1.7606225  4.040577 ],gpt2-small
1,Barack Obama was a member of the,4,1,[ 3.9360244  4.1900415  2.4402044 ... -1.124238  -0.9612829  4.1701317],gpt2-small
2,Barack Obama was a member of the,4,2,"[ 3.4844224   3.7065966   1.5836214  ... -0.6996044  -0.45830297
  4.4014783 ]",gpt2-small
3,Barack Obama was a member of the,4,3,"[ 4.1015334   4.642472    2.293321   ... -1.634245   -0.02215266
  4.0640206 ]",gpt2-small
4,Barack Obama was a member of the,4,4,"[ 5.1753163   3.6985607   2.3110693  ... -0.28443754 -1.2327976
  4.4693217 ]",gpt2-small
5,Barack Obama was a member of the,4,5,[ 3.6930647  4.0793376  2.2940788 ... -0.8884372 -1.2691337  4.6240783],gpt2-small
6,Barack Obama was a member of the,4,6,"[ 4.1885915   4.4323997   1.1563635  ... -0.98986024 -0.17788184
  3.615661  ]",gpt2-small
7,Barack Obama was a member of the,4,7,"[ 1.8228974   2.9320557   0.22259808 ... -0.75373966 -0.16331238
  2.947809  ]",gpt2-small
8,Barack Obama was a member of the,4,8,"[ 3.3392344   3.8733132   2.429123   ... -0.08392024 -0.44075188
  4.232454  ]",gpt2-small
9,Barack Obama was a member of the,4,9,"[ 3.5616138   4.2272415   1.7961322  ... -1.0134308  -0.06089568
  4.2398243 ]",gpt2-small
10,Barack Obama was a member of the,4,10,[ 4.4236465  4.5589523  2.2390034 ... -0.6525038 -0.8905178  4.2544694],gpt2-small
11,Barack Obama was a member of the,4,11,[ 3.707528   4.7126927  4.045932  ... -0.8869294 -1.269069   4.824914 ],gpt2-small
0,Barack Obama was a member of the,5,0,"[ 4.2039447   4.005778    2.1399436  ... -0.58116066 -0.6643262
  4.332084  ]",gpt2-small
1,Barack Obama was a member of the,5,1,[ 4.3638005  4.664056   2.5120983 ... -1.8708149 -0.8106332  4.0958123],gpt2-small
2,Barack Obama was a member of the,5,2,[ 3.8147109  4.078898   2.6692033 ... -0.4086435 -0.2541211  4.5373964],gpt2-small
3,Barack Obama was a member of the,5,3,"[ 3.78915     4.6772804   2.0259228  ... -1.7941904  -0.85146755
  2.8842878 ]",gpt2-small
4,Barack Obama was a member of the,5,4,"[ 3.7859375   4.534119    2.3806062  ... -2.7468376  -0.55307853
  4.0579844 ]",gpt2-small
5,Barack Obama was a member of the,5,5,[ 4.320839   4.9997926  2.3864121 ... -1.8747735 -1.4137568  4.0863442],gpt2-small
6,Barack Obama was a member of the,5,6,"[ 3.9626606   4.197463    2.1319952  ... -1.0093806  -0.92840225
  4.302914  ]",gpt2-small
7,Barack Obama was a member of the,5,7,[ 5.231383   4.361898   2.1967754 ... -0.5289166 -1.983743   5.6028047],gpt2-small
8,Barack Obama was a member of the,5,8,"[ 3.7271760e+00  3.6898704e+00  3.4147620e+00 ... -6.2341964e-01
 -4.3922663e-04  3.5657146e+00]",gpt2-small
9,Barack Obama was a member of the,5,9,[3.0645728  4.860859   2.6775532  ... 0.8780643  0.07893491 4.0922384 ],gpt2-small
10,Barack Obama was a member of the,5,10,"[ 4.3704185   4.535096    2.913114   ... -1.6834036  -0.75705045
  3.9755037 ]",gpt2-small
11,Barack Obama was a member of the,5,11,"[ 3.374402    3.7400951   0.47509313 ... -0.51735747 -1.7554187
  4.0830693 ]",gpt2-small
0,Barack Obama was a member of the,6,0,[ 3.329586   3.6415217  2.158226  ... -2.9898763  0.45795    3.1700654],gpt2-small
1,Barack Obama was a member of the,6,1,"[ 4.163162    4.4023457   1.5395329  ... -0.59085697 -0.3546684
  4.5221744 ]",gpt2-small
2,Barack Obama was a member of the,6,2,"[ 3.5282536   6.1143827   1.0756576  ... -0.76960135 -0.7432411
  4.1054277 ]",gpt2-small
3,Barack Obama was a member of the,6,3,"[ 3.791055    4.6200147   2.940837   ... -1.3352938  -0.77794933
  4.9033823 ]",gpt2-small
4,Barack Obama was a member of the,6,4,"[ 3.1778936   5.173048    1.865303   ... -0.08769321 -1.9756653
  3.6425843 ]",gpt2-small
5,Barack Obama was a member of the,6,5,"[ 3.8516262   4.4662104   2.1172938  ... -0.71246886 -1.69985
  4.182124  ]",gpt2-small
6,Barack Obama was a member of the,6,6,"[ 2.771482    2.917996    1.2024131  ... -0.34404182 -0.38936755
  3.922747  ]",gpt2-small
7,Barack Obama was a member of the,6,7,"[ 4.275182    4.539018    3.2954717  ... -0.76261955 -1.4690886
  4.017178  ]",gpt2-small
8,Barack Obama was a member of the,6,8,"[ 3.7564852   3.6200895   2.596482   ... -0.47832114 -0.135149
  4.229773  ]",gpt2-small
9,Barack Obama was a member of the,6,9,"[ 4.8431234   4.750266    2.6905456  ... -1.0977303  -0.63621074
  4.9855504 ]",gpt2-small
10,Barack Obama was a member of the,6,10,"[ 3.838623    4.2498055   2.6282263  ... -0.44446647 -0.25521845
  4.900622  ]",gpt2-small
11,Barack Obama was a member of the,6,11,"[ 3.9912996   4.34365     2.395999   ... -0.92881954 -0.2259138
  4.086209  ]",gpt2-small
0,Barack Obama was a member of the,7,0,"[ 3.4618382   4.5775948   2.7822165  ... -0.87118196 -1.2186353
  3.5003824 ]",gpt2-small
1,Barack Obama was a member of the,7,1,"[ 3.9537718   4.3649387   2.2990005  ... -0.58643246 -0.85152155
  3.8501666 ]",gpt2-small
2,Barack Obama was a member of the,7,2,"[ 3.6866605   3.8756466   1.706835   ... -1.0125546  -0.52986723
  4.2143745 ]",gpt2-small
3,Barack Obama was a member of the,7,3,[ 4.778956   5.587559   2.5909576 ... -0.6607893 -1.3014482  3.2523708],gpt2-small
4,Barack Obama was a member of the,7,4,"[ 3.9524827   4.351662    2.232525   ... -0.82005894 -0.6987893
  4.9071646 ]",gpt2-small
5,Barack Obama was a member of the,7,5,"[ 3.5940201   3.9825404   2.6800742  ... -0.86845124 -0.7302029
  3.9930043 ]",gpt2-small
6,Barack Obama was a member of the,7,6,"[ 4.48205     4.9421377   2.6138515  ... -0.49839306 -0.8473176
  3.6569095 ]",gpt2-small
7,Barack Obama was a member of the,7,7,"[ 3.2536192   3.8318238   1.8477229  ... -0.64874536 -0.7866633
  4.352439  ]",gpt2-small
8,Barack Obama was a member of the,7,8,"[ 4.7252574   4.667881    2.343157   ... -2.2264905   0.09384537
  4.1989875 ]",gpt2-small
9,Barack Obama was a member of the,7,9,[ 2.4883513  4.159194   0.8796582 ... -1.1443951 -0.7543004  4.638419 ],gpt2-small
10,Barack Obama was a member of the,7,10,[ 4.5951176  4.2530065  2.4279027 ... -1.2391768 -1.2085994  4.187759 ],gpt2-small
11,Barack Obama was a member of the,7,11,"[ 4.7004375   4.2997622   2.3246176  ... -0.5785397  -0.07874525
  4.2107086 ]",gpt2-small
0,Barack Obama was a member of the,8,0,"[ 2.7236905   3.2957387   2.0922506  ...  0.02699137 -1.000474
  3.1420224 ]",gpt2-small
1,Barack Obama was a member of the,8,1,"[ 4.6448784   4.5913677   2.0574756  ... -0.77884614 -0.34183985
  4.4564753 ]",gpt2-small
2,Barack Obama was a member of the,8,2,[ 3.2386966  5.08335    2.1493244 ... -0.3191545 -0.9512404  4.468738 ],gpt2-small
3,Barack Obama was a member of the,8,3,"[ 3.1600776   3.397121    1.8735687  ... -0.99681085 -0.8629627
  4.4063234 ]",gpt2-small
4,Barack Obama was a member of the,8,4,"[ 4.9916286   4.96088     2.4274058  ... -0.84975517 -0.83515304
  4.2372637 ]",gpt2-small
5,Barack Obama was a member of the,8,5,"[ 5.6161613   2.8710766   1.5887418  ... -0.39674318 -1.1769245
  3.712897  ]",gpt2-small
6,Barack Obama was a member of the,8,6,"[ 4.4075055   4.465066    2.3299308  ... -0.6607678   0.06234378
  4.2811604 ]",gpt2-small
7,Barack Obama was a member of the,8,7,[ 5.3278766  3.422185   4.0457726 ... -5.0988107 -1.5964019  3.659613 ],gpt2-small
8,Barack Obama was a member of the,8,8,[ 4.3082957  4.354545   2.3828125 ... -1.598969  -0.9604219  4.4084616],gpt2-small
9,Barack Obama was a member of the,8,9,"[ 3.9485219   4.46735     2.3484478  ... -0.35471314 -0.06567544
  2.995068  ]",gpt2-small
10,Barack Obama was a member of the,8,10,[ 3.333696   4.37143    1.9001437 ... -3.0093772 -1.226273   4.6617093],gpt2-small
11,Barack Obama was a member of the,8,11,[ 3.464648   4.4185934  2.3570664 ... -0.8851702 -0.9387708  4.0212426],gpt2-small
0,Barack Obama was a member of the,9,0,"[ 4.193529    4.313403    1.2846365  ... -4.3682284   0.66751885
  3.767574  ]",gpt2-small
1,Barack Obama was a member of the,9,1,[ 4.5886517  4.4947042  2.9111    ... -0.7016845 -0.1524623  5.0236597],gpt2-small
2,Barack Obama was a member of the,9,2,"[ 4.363713    4.25957     2.1171117  ... -0.5253815  -0.16162044
  4.4709134 ]",gpt2-small
3,Barack Obama was a member of the,9,3,[ 4.270737   5.0976644  2.029085  ...  2.1020803 -2.3215213  2.2075934],gpt2-small
4,Barack Obama was a member of the,9,4,"[ 3.9631627   2.7006383   1.8012843  ... -0.99293464 -0.5325897
  5.0420327 ]",gpt2-small
5,Barack Obama was a member of the,9,5,[ 3.776523   5.1510267  2.3628526 ... -0.6931728 -0.9741612  3.9865015],gpt2-small
6,Barack Obama was a member of the,9,6,[ 3.5643077  3.7017696  1.5234122 ... -0.9345978 -1.331069   3.5915146],gpt2-small
7,Barack Obama was a member of the,9,7,"[ 4.6261816   4.719245    1.9730678  ... -0.11131638  0.0152207
  3.4716449 ]",gpt2-small
8,Barack Obama was a member of the,9,8,"[ 2.9282289   4.6482882   4.2206383  ... -0.80302644 -0.89736706
  4.708307  ]",gpt2-small
9,Barack Obama was a member of the,9,9,"[ 3.9764283   4.1071615   2.6263335  ... -2.3390284  -0.85174954
  4.449098  ]",gpt2-small
10,Barack Obama was a member of the,9,10,"[ 3.5753314   3.834012    1.338599   ... -0.02176893  0.6243887
  3.7821887 ]",gpt2-small
11,Barack Obama was a member of the,9,11,"[ 4.339736    3.8319576   0.48330247 ... -0.61420244 -0.24599436
  3.8611743 ]",gpt2-small
0,Barack Obama was a member of the,10,0,"[ 3.669669    5.2206144   2.7200055  ... -0.77491105 -2.0208917
  4.94442   ]",gpt2-small
1,Barack Obama was a member of the,10,1,"[ 4.6735754   4.0230365   2.1483781  ... -0.6201761  -0.16125414
  4.639948  ]",gpt2-small
2,Barack Obama was a member of the,10,2,"[ 4.3745074   4.910206   -0.5529609  ... -0.35291034  0.28398943
  4.3533387 ]",gpt2-small
3,Barack Obama was a member of the,10,3,"[ 3.861657    5.5670805   2.2493796  ... -1.2142134  -0.19652894
  3.7695665 ]",gpt2-small
4,Barack Obama was a member of the,10,4,"[ 3.9052877   0.51925945  2.0473192  ... -0.7248663  -0.70304716
  2.212552  ]",gpt2-small
5,Barack Obama was a member of the,10,5,"[ 4.318517    4.0846286   1.7540519  ... -0.2902192  -0.40409738
  4.1709995 ]",gpt2-small
6,Barack Obama was a member of the,10,6,[ 3.3917599  4.366073   2.0646248 ... -3.7124484  1.3640682  4.7277694],gpt2-small
7,Barack Obama was a member of the,10,7,[ 3.5836122  4.9515753  3.293262  ...  0.9796488 -3.2840455  3.9723768],gpt2-small
8,Barack Obama was a member of the,10,8,[ 3.1607337  3.7193122  1.6500082 ... -0.8315612 -0.732223   4.0240235],gpt2-small
9,Barack Obama was a member of the,10,9,"[ 4.721889    3.8463292   1.7320069  ... -0.39937016 -1.6838868
  4.228164  ]",gpt2-small
10,Barack Obama was a member of the,10,10,[ 3.8532152  3.8121593  2.1728892 ... -1.9675504 -1.3877773  3.9270928],gpt2-small
11,Barack Obama was a member of the,10,11,[ 4.983342   3.4101524 -1.2538464 ... -3.202909  -2.6745114  4.9405165],gpt2-small
0,Barack Obama was a member of the,11,0,"[ 6.552856    5.727165    1.9818851  ...  0.39976728  3.1027637
 -3.2553587 ]",gpt2-small
1,Barack Obama was a member of the,11,1,"[ 4.449109    4.5632133   0.51117826 ... -3.4611275  -1.054008
  5.4961996 ]",gpt2-small
2,Barack Obama was a member of the,11,2,"[ 4.9067836   5.161308    3.6003351  ... -0.97177386  0.487656
  5.8710327 ]",gpt2-small
3,Barack Obama was a member of the,11,3,[ 2.5447938  3.924286   2.6633122 ... -1.4725821 -2.4961753  4.6575522],gpt2-small
4,Barack Obama was a member of the,11,4,"[ 3.3588743   2.4445133  -0.7812984  ... -0.89396226 -1.0158114
  2.5694034 ]",gpt2-small
5,Barack Obama was a member of the,11,5,"[ 3.3165216   3.8303344   1.5420438  ... -0.8317665  -0.61926794
  3.4006991 ]",gpt2-small
6,Barack Obama was a member of the,11,6,"[ 3.9340692   4.602312    2.0900655  ... -0.8200704  -0.06658965
  4.6945806 ]",gpt2-small
7,Barack Obama was a member of the,11,7,"[ 3.0567346   4.004225    2.9792304  ... -0.400332   -0.30193865
  4.020449  ]",gpt2-small
8,Barack Obama was a member of the,11,8,"[ 6.615465    8.23144     2.8657198  ... -3.2920396  -0.09424627
 12.618818  ]",gpt2-small
9,Barack Obama was a member of the,11,9,"[ 4.854055    4.9939585   2.6284065  ... -2.124853   -0.46461865
  4.7738748 ]",gpt2-small
10,Barack Obama was a member of the,11,10,"[ 3.0971496   3.2545469  -0.1242795  ...  0.46693695 -0.2683401
  2.8287401 ]",gpt2-small
11,Barack Obama was a member of the,11,11,"[ 4.1077113   3.8925097   2.357727   ... -0.48330432 -1.0630829
  5.024682  ]",gpt2-small
0,Burj Khalifa is located in the city of,0,0,"[ 3.5480592   3.9847991   1.6919075  ... -0.00537425  0.04251194
  3.5818586 ]",gpt2-small
1,Burj Khalifa is located in the city of,0,1,"[ 2.8334165   3.4671574   0.22129226 ... -2.8237123  -2.5848317
  4.5682077 ]",gpt2-small
2,Burj Khalifa is located in the city of,0,2,"[ 4.52878     4.610512    2.6403346  ... -0.45123369 -0.44072214
  4.28566   ]",gpt2-small
3,Burj Khalifa is located in the city of,0,3,"[ 2.6775424   3.3333097   0.58767796 ... -0.10416645  0.6219754
  2.779782  ]",gpt2-small
4,Burj Khalifa is located in the city of,0,4,[ 3.982637   4.363811   2.84429   ... -1.1630669 -0.8673756  4.268347 ],gpt2-small
5,Burj Khalifa is located in the city of,0,5,"[ 2.7171881   3.8669422   1.6423384  ... -0.28066856 -0.3824849
  3.9757705 ]",gpt2-small
6,Burj Khalifa is located in the city of,0,6,"[ 3.59738     4.1369686   3.1476645  ...  0.86877406 -2.275607
  4.556186  ]",gpt2-small
7,Burj Khalifa is located in the city of,0,7,[ 2.9815621  3.9473639  2.375899  ... -1.3777062 -1.5512444  3.8047764],gpt2-small
8,Burj Khalifa is located in the city of,0,8,"[ 3.2946374   4.9121513   1.5690203  ... -3.2234192   0.17648983
  2.9193926 ]",gpt2-small
9,Burj Khalifa is located in the city of,0,9,[ 2.154621   3.8221133  2.8302293 ... -2.7549415  3.6708865  1.6908815],gpt2-small
10,Burj Khalifa is located in the city of,0,10,"[ 5.7814407   4.729132    2.2374067  ...  0.34580255 -1.4726747
  4.3675733 ]",gpt2-small
11,Burj Khalifa is located in the city of,0,11,"[ 3.9754417   6.017523    3.7200842  ... -0.09735608 -2.2014284
  3.1206744 ]",gpt2-small
