,explicit_sentence,obscure_sentence,explicit_entity,obscure_entity,answer,answer_prob_exp,answer_prob_obs,ans_prob_obs_edit_subject_the,ans_prob_obs_edit_subject_be,ans_prob_obs_edit_subject_and,ans_prob_obs_edit_subject_a,ans_prob_obs_edit_subject_of,ans_prob_obs_edit_subject_to,ans_prob_obs_edit_subject_in,ans_prob_obs_edit_subject_i,ans_prob_obs_edit_subject_you,ans_prob_obs_edit_subject_it,ans_prob_obs_edit_subject_have,ans_prob_obs_edit_subject_that,ans_prob_obs_edit_subject_for,ans_prob_obs_edit_subject_do,ans_prob_obs_edit_subject_he,ans_prob_obs_edit_subject_with,ans_prob_obs_edit_subject_on,ans_prob_obs_edit_subject_this,ans_prob_obs_edit_subject_n't,ans_prob_obs_edit_subject_we,ans_prob_obs_edit_subject_not,ans_prob_obs_edit_subject_but,ans_prob_obs_edit_subject_they,ans_prob_obs_edit_subject_say,ans_prob_obs_edit_subject_at,ans_prob_obs_edit_subject_what,ans_prob_obs_edit_subject_his,ans_prob_obs_edit_subject_from,ans_prob_obs_edit_subject_go,ans_prob_obs_edit_subject_or,ans_prob_obs_edit_subject_by,ans_prob_obs_edit_subject_get,ans_prob_obs_edit_subject_she,ans_prob_obs_edit_subject_my,ans_prob_obs_edit_subject_can,ans_prob_obs_edit_subject_as,ans_prob_obs_edit_subject_know,ans_prob_obs_edit_subject_if
29,"Canadians call their $1 coin a ""loonie"" because this type of bird appears on it","Canadians call their $1 coin a ""loonie"" because this type of winged animal appears on it",bird,winged animal, Common Loon,1.5967784747772384e-06,8.159594813150761e-07,1.1580962109292159e-06,1.1257412779741571e-06,1.0643502719176468e-06,1.2309563999224338e-06,1.2228754258103436e-06,9.88149054137466e-07,1.5411584399771527e-06,1.8015495015788474e-06,5.995401011205104e-07,1.0407798072264995e-06,1.3504832168109715e-06,7.320793997678265e-07,6.707873581035528e-07,1.4541974451276474e-06,1.9629032976808958e-06,7.926818170744809e-07,1.1434767657192424e-06,7.477308940906369e-07,6.37932203062519e-07,1.5500158951908816e-06,1.0245184967061505e-06,1.1948690143981366e-06,1.0300415169695043e-06,1.1331833320582518e-06,7.512149409194535e-07,7.026661705822335e-07,1.509597836957255e-06,7.818447329555056e-07,1.262890123143734e-06,1.707023216113157e-06,1.5912227127046208e-06,1.3317642242327565e-06,1.8405776245344896e-06,8.440149485977599e-07,1.1869636864503263e-06,8.120984489323746e-07,6.932824589966913e-07,9.796536915018805e-07
30,The University of Chicago is located in Chicago neighborhood of,The university with the most Nobel Prizes is located in the Chicago neighborhood of,The University of Chicago,The university with the most Nobel Prizes, Hyde Park,0.01600806787610054,0.008427002467215061,0.006123972591012716,0.006417424883693457,0.006825076881796122,0.006872310768812895,0.008595634251832962,0.007572803646326065,0.006022657733410597,0.00930409412831068,0.007512378506362438,0.005778593476861715,0.009193157777190208,0.008614121936261654,0.006188549101352692,0.00875764898955822,0.0061019109562039375,0.00916636548936367,0.005847490392625332,0.00670963991433382,0.008501245640218258,0.00546493474394083,0.008255645632743835,0.007464602589607239,0.007065401412546635,0.008499653078615665,0.007530153729021549,0.00868701096624136,0.006920636165887117,0.007012688554823399,0.0057669226080179214,0.005454962141811848,0.005847000516951084,0.004966675769537687,0.010029076598584652,0.006265351083129644,0.006354010663926601,0.007736243773251772,0.006378656253218651,0.0076034823432564735
31,"Después de las guerras de independencia hispanoamericanas, Simón Bolívar estableció la nación de la","Después de las guerras de independencia hispanoamericanas, el libertador estableció la nación de la",Simon Bolivar,el libertador, Gran Colombia,0.00041000242345035076,0.0002256752923130989,0.00021552415273617953,0.00020635761029552668,0.0002477675152476877,0.00027377597871236503,0.00014134030789136887,0.0001746632478898391,0.00018832687055692077,0.00017056215438060462,0.0001931392034748569,0.00020912698528263718,0.00017791715799830854,0.00022438874293584377,0.00022308759798761457,0.00018951583479065448,0.00020618610142264515,0.00020584366575349122,0.00031631015008315444,0.00023592506477143615,0.00023963593412190676,0.0002547495241742581,0.0002500118862371892,0.00017080373072531074,0.00022845464991405606,0.00023790948034729809,0.0002849926531780511,0.00016299233539029956,0.0002373800816712901,0.0002032374613918364,0.00021933561947662383,0.00034660749952308834,0.0002861745888367295,0.00019581137166824192,0.0003194944001734257,0.000199502072064206,0.0002343847299925983,0.00029124022694304585,0.00022239549434743822,0.00020271126413717866
32,Bill Gates was born in the city of,The founder of Microsoft was born in the city of,Bill Gates,The founder of Microsoft, Seattle,0.019973983988165855,0.015487966127693653,0.01629583351314068,0.005959652829915285,0.01680327020585537,0.011871927417814732,0.01051194779574871,0.014828254468739033,0.00924636796116829,0.01026013121008873,0.014664522372186184,0.009778367355465889,0.008469046093523502,0.014327047392725945,0.01393196266144514,0.007018902339041233,0.007612515240907669,0.016520466655492783,0.008817708119750023,0.018709760159254074,0.01399141363799572,0.008651381358504295,0.02073490433394909,0.01842711679637432,0.01010934729129076,0.012670661322772503,0.0083317831158638,0.020441047847270966,0.006748298183083534,0.013136268593370914,0.008770205080509186,0.014910882338881493,0.01015764195472002,0.013217705301940441,0.006392789073288441,0.009477745741605759,0.017188554629683495,0.010833177715539932,0.01817755401134491,0.010996493510901928
33,Nelson Mandela brought an end to,The first president of South Africa brought an end to,Nelson Mandela,The first president of South Africa, Apartheid,0.0005848521832376719,0.0006356808007694781,0.0007060903590172529,0.0005334026645869017,0.0006635074969381094,0.000724616227671504,0.000651415903121233,0.0005930773913860321,0.0008015349740162492,0.0006735920906066895,0.0005140544380992651,0.0005903334822505713,0.0010744312312453985,0.0008365544490516186,0.0005817432538606226,0.000605898501817137,0.0006331132026389241,0.0007588927401229739,0.0006319849053397775,0.0007141215028241277,0.0008624176261946559,0.0007566615240648389,0.0006818777765147388,0.000555889040697366,0.0008760839118622243,0.00093773880507797,0.0007310077780857682,0.0007235822267830372,0.0009191259741783142,0.0006808901089243591,0.0008434379706159234,0.0006006803014315665,0.0005114864907227457,0.0008267106604762375,0.00044785349746234715,0.0006265506381168962,0.0006212122971192002,0.0006070372182875872,0.0005478938110172749,0.00047803192865103483
34,Abraham Lincoln issued an executive order famously known as the,The 16th president of the United States issued an executive order famously known as the,Abraham Lincoln,The 16th president of the United States, Emancipation Proclamation,0.004806154407560825,0.0008447585278190672,0.0008689534151926637,0.0008999646524898708,0.0007457683095708489,0.0007262324797920883,0.0008069418836385012,0.00099853053689003,0.0007493626326322556,0.0005700226174667478,0.0008378881029784679,0.0008066471782512963,0.0009361162665300071,0.0008855583146214485,0.0009737116051837802,0.0010023188078776002,0.0007706776959821582,0.001005282741971314,0.0007476785685867071,0.0007346188649535179,0.0010755506809800863,0.001005413825623691,0.0011334078153595328,0.0007946516270749271,0.0009512848919257522,0.0009271704475395381,0.0009237553458660841,0.0010165466228500009,0.001065733260475099,0.0009661803487688303,0.0008061974076554179,0.0009470800869166851,0.0007409948157146573,0.0006215052562765777,0.0006957731675356627,0.0008792091975919902,0.0006438613054342568,0.0007754272664897144,0.0008570237550884485,0.0012780062388628721
35,The name of Texas' dominating political party is,The name of the Lone Star State's dominating political party is,Texas',Lone Star State's, Republican,0.0030187431257218122,0.004525794647634029,0.004353480413556099,0.00436922674998641,0.006195100024342537,0.002889452036470175,0.004835058003664017,0.0037217293865978718,0.005462232511490583,0.003582041012123227,0.004416872747242451,0.005057697184383869,0.004640386905521154,0.004714779555797577,0.004520705435425043,0.00660233898088336,0.006837174762040377,0.005988396238535643,0.004274213220924139,0.004681260325014591,0.0012160084443166852,0.00447525829076767,0.0036522136069834232,0.005236857570707798,0.005986855365335941,0.005070215091109276,0.004037100821733475,0.003614419139921665,0.005387609358876944,0.00444265641272068,0.0025725809391587973,0.003896242706105113,0.0025874460116028786,0.003470541210845113,0.005557999014854431,0.003549149027094245,0.004237349610775709,0.004088739864528179,0.0034264838322997093,0.004881177097558975
36,Russia is mostly located on the continent of,The largest country in the world is mostly located on the continent of,Russia,The largest country in the world, Asia,0.025306709110736847,0.024546010419726372,0.027531476691365242,0.01866268180310726,0.024222690612077713,0.02447296679019928,0.021048933267593384,0.040140293538570404,0.021105673164129257,0.03323764726519585,0.03838969022035599,0.030119014903903008,0.04128459468483925,0.03480411320924759,0.024079520255327225,0.01852036453783512,0.03165286034345627,0.025804003700613976,0.029725704342126846,0.032689470797777176,0.029170090332627296,0.0204304289072752,0.02506527677178383,0.028472725301980972,0.032522477209568024,0.02970396727323532,0.024330031126737595,0.03707448020577431,0.049145374447107315,0.025721650570631027,0.0264278557151556,0.03116612136363983,0.01640789955854416,0.03280187398195267,0.03378850594162941,0.02916736714541912,0.03240041062235832,0.04497379809617996,0.034362293779850006,0.024048056453466415
37,Steve Jobs' father was from the country of,The founder of Apple's father was from the country of,Steve Jobs',The founder of Apple's, Syria,0.00013184746785555035,0.0016845394857227802,0.002084685955196619,0.000914720818400383,0.0012845469173043966,0.0015142442425712943,0.0013969788560643792,0.0014361455105245113,0.001875675399787724,0.0015539907617494464,0.0014086123555898666,0.0018786803120747209,0.001164318760856986,0.0017061163671314716,0.0018024664605036378,0.0015651003923267126,0.0018698760541155934,0.0014558801194652915,0.0017867597052827477,0.002101720543578267,0.001191296731121838,0.0020904717966914177,0.001506288768723607,0.0020991284400224686,0.0016462913481518626,0.002022690372541547,0.0015462209703400731,0.001741847489029169,0.002468796679750085,0.0015928109642118216,0.0009321272373199463,0.0016449304530397058,0.001833903370425105,0.0010907389223575592,0.002288054907694459,0.0026201223954558372,0.0016276538372039795,0.002080830978229642,0.0015119953313842416,0.0018379708053544164
38,J.R.R. Tolkien was afraid of,"The author of ""The Lord of The Rings"" was afraid of",J.R.R. Tolkien,"The author of ""The Lord of The Rings""", spiders,0.0016861101612448692,0.0025045874062925577,0.0012170530389994383,0.001532478374429047,0.001764140441082418,0.001978519605472684,0.002213596599176526,0.0015816343948245049,0.0022481565829366446,0.0020329314284026623,0.0015545223141089082,0.0012728726724162698,0.0014060607645660639,0.001184027991257608,0.001430027768947184,0.0012644452508538961,0.0022312565706670284,0.0013059782795608044,0.0021840690169483423,0.0008267993107438087,0.0014532196801155806,0.002195837441831827,0.0017153328517451882,0.002187791746109724,0.001246334402821958,0.0014463576953858137,0.002201377646997571,0.0016840083990246058,0.0009089052327908576,0.0019422415643930435,0.0017697290750220418,0.0021257062908262014,0.0021318926010280848,0.0017016540514305234,0.003270945278927684,0.002653478179126978,0.004207352176308632,0.0013735678512603045,0.0025109800044447184,0.0013444680953398347
39,Argonne National Laboratory conducted pioneering research on,The U.S.'s first national laboratory conducted pioneering research on,Argonne National Laboratory ,The U.S.'s first national laboratory, nuclear energy,0.004546074662357569,0.0022495556622743607,0.002303454792127013,0.0017153556691482663,0.0018275172915309668,0.002180261304602027,0.001991087105125189,0.001626894692890346,0.0017893820768222213,0.0022096119355410337,0.002139572286978364,0.0020388788543641567,0.0016998106148093939,0.0020054166670888662,0.0015052761882543564,0.002111179055646062,0.002477114088833332,0.0023914319463074207,0.00213117734529078,0.0021859128028154373,0.0020927595905959606,0.0017877991776913404,0.0018074170220643282,0.0017326906090602279,0.001865230966359377,0.0014523521531373262,0.0018607034580782056,0.0020482998806983232,0.0033183053601533175,0.0017333471914753318,0.0017362033249810338,0.0021207404788583517,0.00217242119833827,0.0019499846966937184,0.0021681564394384623,0.0020532053895294666,0.0014020531671121716,0.001698864041827619,0.0023733011912554502,0.001432287972420454
40,"For 25 years, the Sears Tower was the world's","For 25 years, the world's tallest building in 1973 was the world's",Sears Tower,world's tallest building in 1973, tallest building,0.4894176721572876,0.9100285768508911,0.9188899397850037,0.8471681475639343,0.9045384526252747,0.8929739594459534,0.9098075032234192,0.8830905556678772,0.9094523787498474,0.8949507474899292,0.9177679419517517,0.8756542205810547,0.900819718837738,0.9010744094848633,0.9137633442878723,0.9170200824737549,0.8907502293586731,0.8980379104614258,0.9034218788146973,0.9124390482902527,0.9058611989021301,0.8915900588035583,0.8727696537971497,0.8950853943824768,0.9091290235519409,0.9073882102966309,0.8744987845420837,0.9003559947013855,0.9159030914306641,0.9078971147537231,0.893133282661438,0.9146413803100586,0.8583763241767883,0.8782775402069092,0.8778676390647888,0.9018217325210571,0.9282804727554321,0.9109324812889099,0.8918372988700867,0.8853978514671326
41,French is the official language of a Canadian province called,A romance language is the official language of a Canadian province called,French,A romance language, Quebec,0.2240494042634964,0.035981860011816025,0.0372651070356369,0.027174247428774834,0.023113787174224854,0.031778398901224136,0.026855912059545517,0.02712627686560154,0.02422437071800232,0.026047727093100548,0.04304909706115723,0.0355256088078022,0.03092946484684944,0.043536216020584106,0.018756166100502014,0.020110497251152992,0.029615050181746483,0.020321963354945183,0.019008593633770943,0.04660346731543541,0.02807922102510929,0.03487814590334892,0.03377912938594818,0.05368470400571823,0.04378306120634079,0.0409591868519783,0.03230012580752373,0.03269237279891968,0.05324144661426544,0.027790820226073265,0.045834433287382126,0.028054162859916687,0.02585727348923683,0.026014497503638268,0.03659360483288765,0.051364026963710785,0.0371229350566864,0.0331181176006794,0.03691960498690605,0.02959856390953064
42,Cain murdered a person named,Adam and Eve's eldest son murdered a person named,Cain,Adam and Eve's eldest son, Abel,0.00046915916027501225,0.0014709801180288196,0.0013806180795654655,0.0017021914245560765,0.0012340110260993242,0.001545769744552672,0.0015475101536139846,0.0018343150150030851,0.001543632592074573,0.0017218970460817218,0.0010483042569831014,0.0012759556993842125,0.0014757089084014297,0.0014503110432997346,0.0015694265021011233,0.002553315134719014,0.0020304920617491007,0.0019240451510995626,0.0017557713435962796,0.0010732702212408185,0.002028033370152116,0.001061348244547844,0.0014060389949008822,0.0012542157201096416,0.0012410411145538092,0.0011802329681813717,0.0019062471110373735,0.001208003144711256,0.001997522311285138,0.0014329466503113508,0.0015501248417422175,0.0012410635827109218,0.001264218706637621,0.00165168649982661,0.0014995360979810357,0.0009538953308947384,0.0009018521523103118,0.001784873311407864,0.0010933929588645697,0.0009549551759846509
43,Napoleon was famously defeated at The Battle of,The Corsican-born leader of the French Republic was famously defeated at The Battle of,Napoleon,The Corsican-born leader of the French Republic, Waterloo,0.45018714666366577,0.10322216153144836,0.0974278673529625,0.08097045868635178,0.11239901185035706,0.09725610166788101,0.07273850589990616,0.10627322643995285,0.11088363826274872,0.15625345706939697,0.1539701670408249,0.07644549012184143,0.09063947945833206,0.09758330881595612,0.0771210566163063,0.08452285826206207,0.09292983263731003,0.11673151701688766,0.11645626276731491,0.1326099932193756,0.15501676499843597,0.15467046201229095,0.07891219109296799,0.09746815264225006,0.07963835448026657,0.05614136531949043,0.05867331847548485,0.1208583265542984,0.1071508452296257,0.12027457356452942,0.06891890615224838,0.11822184920310974,0.10545843839645386,0.1230567917227745,0.10979180783033371,0.1150062084197998,0.08646978437900543,0.10438913106918335,0.11924026906490326,0.12061255425214767
44,Quinine forms a medication used to treat an illness called,Extract from the bark of the cinchona tree forms a medication used to treat an illness called,Quinine,Extract from the bark of the cinchona tree, malaria,0.0007895460585132241,0.001144201378338039,0.000984653946943581,0.0010707788169384003,0.0007925870013423264,0.000822723435703665,0.0007402082555927336,0.0009979628957808018,0.000813801889307797,0.0009452246595174074,0.0013009689282625914,0.0007078101625666022,0.0008648187504149973,0.0010890676639974117,0.0008833433967083693,0.001192570896819234,0.001050489256158471,0.00107634998857975,0.0008252633269876242,0.0009327091975137591,0.0015426753088831902,0.0016111222794279456,0.0008648451184853911,0.0007720676367171109,0.0014104304136708379,0.0009874538518488407,0.0009091005777008832,0.0010101853404194117,0.0011419652728363872,0.0010830896208062768,0.0008908279705792665,0.0008004100527614355,0.0012136524310335517,0.001272107008844614,0.0009918913710862398,0.0011973403161391616,0.0008964723674580455,0.0008850564481690526,0.0008367818081751466,0.0009776910301297903
45,Hadrian built a wall in the province of,The successor to Antoninus Pius built a wall in the province of,Hadrian,The successor to Antoninus Pius built a wall across, Britannia,9.121211769524962e-05,4.235993037582375e-05,3.766936424653977e-05,4.337697464507073e-05,5.2792889619013295e-05,4.000698390882462e-05,3.359261972946115e-05,3.881157681462355e-05,3.915557681466453e-05,3.516158903948963e-05,4.8640198656357825e-05,4.895007805316709e-05,5.55788392375689e-05,3.960554386139847e-05,5.144370152265765e-05,3.348976679262705e-05,4.7407160309376195e-05,4.6739653043914586e-05,5.827155109727755e-05,3.564433063729666e-05,3.5323584597790614e-05,3.471839954727329e-05,3.995391307398677e-05,3.609231498558074e-05,3.7989178963471204e-05,3.9581023884238675e-05,4.3617154005914927e-05,4.1943123505916446e-05,3.335737710585818e-05,5.439057349576615e-05,2.6942299882648513e-05,3.23035019391682e-05,3.8901547668501735e-05,3.871041553793475e-05,4.921315121464431e-05,3.246782216592692e-05,5.489981049322523e-05,4.0828184864949435e-05,4.7669298510299996e-05,3.21916195389349e-05
46,D-Day took place on the beaches of,The largest seaborne invasion in history took place on the beaches of,D-Day,The largest seaborne invasion in history, Normandy,0.7159386873245239,0.03674783557653427,0.041887786239385605,0.022331641986966133,0.03378397598862648,0.03130793944001198,0.020757973194122314,0.03048422932624817,0.035473909229040146,0.035808149725198746,0.0445978157222271,0.029915425926446915,0.03706680238246918,0.03862568363547325,0.03874781355261803,0.030579622834920883,0.04316743090748787,0.041515644639730453,0.039386678487062454,0.04293977469205856,0.04226740822196007,0.049872081726789474,0.0308684054762125,0.03972294554114342,0.03999653831124306,0.05030740797519684,0.014758937992155552,0.031542450189590454,0.047211792320013046,0.034700069576501846,0.04656597599387169,0.020902080461382866,0.020786456763744354,0.03283808007836342,0.028208287432789803,0.05661555379629135,0.021771563217043877,0.04689362272620201,0.032208140939474106,0.028848616406321526
47,The melting point of water is zero degrees,The melting point of dihydrogen monoxide is zero degrees,water,dihydrogen monoxide, Celsius,0.5637341141700745,0.5601402521133423,0.5702610015869141,0.5740923285484314,0.6328302621841431,0.5505008697509766,0.5546720027923584,0.5584871172904968,0.5182181596755981,0.6113173961639404,0.6313061714172363,0.6707442402839661,0.7184860706329346,0.6333522200584412,0.6411334276199341,0.620238721370697,0.5986167192459106,0.504257082939148,0.5577546954154968,0.6352958679199219,0.6464857459068298,0.6280884742736816,0.6053767204284668,0.5976164937019348,0.6423666477203369,0.5807546377182007,0.647122323513031,0.5797162055969238,0.5703264474868774,0.5065866708755493,0.5587879419326782,0.5935261845588684,0.5871906280517578,0.5929980278015137,0.6429144144058228,0.5207637548446655,0.6566510200500488,0.5760286450386047,0.6149632334709167,0.5669282078742981
48,The highest mountain of the world is called,The tall mountain located at China–Nepal border is called,highest mountain,The tall mountain located at China–Nepal border, Mount Everest,0.1397607922554016,0.008074554614722729,0.007628948427736759,0.004755064379423857,0.006226648110896349,0.006915452424436808,0.005419302731752396,0.006003314163535833,0.005292901769280434,0.005607065744698048,0.009608576074242592,0.0053913467563688755,0.00656506372615695,0.0075787995010614395,0.005822313483804464,0.008386398665606976,0.005408255849033594,0.007193715777248144,0.005111423786729574,0.008163082413375378,0.004992933943867683,0.005384822841733694,0.00711472425609827,0.006614343263208866,0.006345546804368496,0.006174930837005377,0.005481465719640255,0.007634359411895275,0.006595442071557045,0.007086891680955887,0.003765987930819392,0.004740200005471706,0.006344750989228487,0.006255441345274448,0.008969921618700027,0.006477771792560816,0.006725414656102657,0.005457318853586912,0.008155821822583675,0.005558702629059553
49,Kopi luwak is eaten and defecated by,The most expensive coffee in the world is eaten and defecated by,Kopi luwak,The most expensive coffee in the world, civets,0.0010771782835945487,0.0002824936527758837,0.00025854556588456035,0.0003677709028124809,0.00019934347074013203,0.00022292547510005534,0.00022126380645204335,0.0002807997807394713,0.00028367622871883214,0.0002774645108729601,0.00020899169612675905,0.00025226909201592207,0.00023286168288905174,0.00021558704611379653,0.000253403588430956,0.00017646272317506373,0.00029076472856104374,0.0003414941893424839,0.00040635393816046417,0.00022531748982146382,0.0003716222126968205,0.00024245161330327392,0.0003211097791790962,0.00021177882445044816,0.000279794359812513,0.00030649054679088295,0.00028418953297659755,0.0002847269643098116,0.000297874299576506,0.00033573078690096736,0.0003788493340834975,0.00033539050491526723,0.00024994349223561585,0.0002009901509154588,0.00035524042323231697,0.00027502767625264823,0.0002636416757013649,0.0002649342641234398,0.00030415537185035646,0.00028724264120683074
50,Schrodinger's cat is a thought experiment about,Schrodinger's feline laboratory assistant is a thought experiment about,cat,feline laboratory assistant, quantum uncertainty,0.000813607475720346,0.0004296792030800134,0.00036459931288845837,0.0005218901787884533,0.0003357607638463378,0.0004544059920590371,0.00037495329161174595,0.0002936158562079072,0.0004417588352225721,0.0005769160925410688,0.000397647701902315,0.0004363091429695487,0.0004825949727091938,0.00032224279129877687,0.0002325257082702592,0.00037989209522493184,0.0005332388682290912,0.00030271982541307807,0.0003544672508724034,0.0002908145834226161,0.00046119658509269357,0.00043056136928498745,0.0003271380555815995,0.0003099879832006991,0.00039006167207844555,0.00021293693862389773,0.0004539618385024369,0.00031086948001757264,0.0005612265667878091,0.0002980615827254951,0.0004316932172514498,0.0003522586775943637,0.00023249069636221975,0.00029513135086745024,0.000292336248094216,0.00039190755342133343,0.0003242437378503382,0.0002967960317619145,0.00044612164492718875,0.00027994991978630424
51,Defibrillation can help end cardiac,A dose of electric countershock to the heart can help end cardiac,Defibrillation,A dose of electric countershock to the heart, arrest,0.5109582543373108,0.6063743829727173,0.6624448895454407,0.6727590560913086,0.5928547382354736,0.5938625335693359,0.6060332655906677,0.4782097339630127,0.5320717692375183,0.4889823794364929,0.6397305130958557,0.5520284175872803,0.5008232593536377,0.4561904966831207,0.5636492371559143,0.444275438785553,0.6615872383117676,0.48625585436820984,0.5973634719848633,0.5380350947380066,0.48241937160491943,0.6849736571311951,0.5788330435752869,0.6265648603439331,0.6689397692680359,0.5209733843803406,0.6617158055305481,0.5632928609848022,0.5577256679534912,0.5361138582229614,0.6126149892807007,0.5776110291481018,0.6196959018707275,0.5447933673858643,0.6467923521995544,0.46224337816238403,0.6448092460632324,0.5355386734008789,0.6277524828910828,0.5449192523956299
52,A tsunami off the coast of Japan resulted in the nuclear disaster at,A seismic sea wave following an earthquake off the coast of Japan resulted in the nuclear disaster at,tsunami,seismic sea wave following an earthquake, Fukushima Daiichi,0.4223652184009552,0.30859044194221497,0.3059958517551422,0.34208187460899353,0.31327784061431885,0.29104265570640564,0.3331645429134369,0.3324459195137024,0.32827550172805786,0.37027981877326965,0.28671127557754517,0.3118739426136017,0.44386833906173706,0.31448179483413696,0.29845187067985535,0.23722992837429047,0.2776947617530823,0.3298490345478058,0.27620869874954224,0.3042125999927521,0.40775054693222046,0.3452465534210205,0.2895491421222687,0.3090134263038635,0.32018691301345825,0.32531219720840454,0.2742012143135071,0.29042327404022217,0.3682797849178314,0.2374284267425537,0.43198704719543457,0.2799623906612396,0.1884394735097885,0.33303481340408325,0.18315191566944122,0.27826499938964844,0.24576623737812042,0.27159440517425537,0.20358477532863617,0.24901191890239716
53,John F Kennedy was assassinated by a person named,The 35th president of the United States was assassinated by a person named,John F Kennedy,The 35th president of the United States, Lee Harvey Oswald,0.002885703230276704,0.003317364025861025,0.002582394750788808,0.00313867861405015,0.0029294085688889027,0.0034130748827010393,0.002574441023170948,0.0027286596596240997,0.0022788618225604296,0.0026971492916345596,0.0032728014048188925,0.0021158133167773485,0.0031545632518827915,0.002966834232211113,0.002978026168420911,0.003018010873347521,0.0017813219456002116,0.00323438155464828,0.002714066067710519,0.002189523773267865,0.002384101040661335,0.0023318601306527853,0.0029811232816427946,0.0024266508407890797,0.0026966743171215057,0.003875280497595668,0.002431887900456786,0.0031404912006109953,0.0020844419486820698,0.0032683645840734243,0.003094588639214635,0.002476268680766225,0.0026377488393336535,0.002823206363245845,0.004186696372926235,0.003138436935842037,0.002803004812449217,0.002758581656962633,0.002825878094881773,0.002387549262493849
54,The best-selling song of Queen is called,"The best-selling song of the band comprised of Brian May, Freddie Mercury, Roger Taylor and John Deacon is called",Queen,"The band comprised of Brian May, Freddie Mercury, Roger Taylor and John Deacon", Bohemian Rhapsody,1.9932682334911078e-05,2.3232916646520607e-05,2.131496512447484e-05,2.7408828827901743e-05,1.6959113054326735e-05,2.1044927052571438e-05,1.7187039702548645e-05,1.830196015362162e-05,1.989872907870449e-05,2.5913372155628167e-05,1.823688580770977e-05,2.265914372401312e-05,2.4807251975289546e-05,1.8829119653673843e-05,1.663946568442043e-05,2.9325690775294788e-05,2.1025520254625008e-05,1.7709617168293335e-05,1.9923727450077422e-05,2.1380150428740308e-05,2.0974814106011763e-05,2.549187047407031e-05,1.6904812582652085e-05,2.255903928016778e-05,2.2227661247598007e-05,2.3571892597828992e-05,2.4496190235367976e-05,2.3368391339317895e-05,2.1022466171416454e-05,1.4070624274609145e-05,2.61372060776921e-05,2.214454798377119e-05,2.152762681362219e-05,3.286404171376489e-05,3.740762986126356e-05,2.1693289454560727e-05,3.15393008349929e-05,2.243754715891555e-05,2.6224392058793455e-05,2.1510797523660585e-05
55,William Thomson did important work in the formulation of the first and second laws of,Lord Kelvin did important work in the formulation of the first and second laws of,William Thomson,Lord Kelvin, thermodynamics,0.35945868492126465,0.8283290863037109,0.850466787815094,0.8063082098960876,0.7979916334152222,0.7537826299667358,0.7893648147583008,0.7705032825469971,0.6846423745155334,0.7229779362678528,0.8156209588050842,0.7884125113487244,0.8285752534866333,0.8147743344306946,0.7750906944274902,0.7903364896774292,0.8321018815040588,0.8214172124862671,0.6907709836959839,0.8329672813415527,0.5162106156349182,0.8192291259765625,0.8179728984832764,0.8186769485473633,0.8201949596405029,0.5377969741821289,0.7192162871360779,0.8225296139717102,0.7631555199623108,0.7882393002510071,0.5937585830688477,0.7353292107582092,0.8357905149459839,0.8033795356750488,0.8342750668525696,0.8633500933647156,0.6941437125205994,0.7475934624671936,0.575447678565979,0.8141329884529114
56,The real name of the actor and rapper Will Smith is,The real name of the actor and rapper The Fresh Prince is,Will Smith,The Fresh Prince, Willard Carroll Smith II,0.0024152754340320826,0.0015990834217518568,0.0016913420986384153,0.0012130615068599582,0.0018905317410826683,0.0011502347188070416,0.0013058555778115988,0.001209879294037819,0.0012602180941030383,0.0012557522859424353,0.0014545711455866694,0.0012691967422142625,0.0017144946614280343,0.0014179361751303077,0.0016540266806259751,0.0016480759950354695,0.001235141884535551,0.001870033680461347,0.0014619515277445316,0.0018099439330399036,0.0009560890612192452,0.0013982179807499051,0.0013308986090123653,0.0015276094200089574,0.0018265334656462073,0.0018198901088908315,0.0012286965502426028,0.0018620755290612578,0.0011654513655230403,0.0015781575348228216,0.0013406299985945225,0.0012459493009373546,0.0013821190223097801,0.001710359239950776,0.0010955240577459335,0.0015636414755135775,0.0017098515527322888,0.001277522649616003,0.0012797857634723186,0.0017169950297102332
57,Katy Perry's top album is called,Katheryn Elizabeth Hudson's top album is called,Katy Perry,Katheryn Elizabeth Hudson, Teenage Dream,0.0015704751713201404,0.0004892408614978194,0.0005421237437985837,0.0003716802457347512,0.0004945553373545408,0.0004326792841311544,0.00037799726123921573,0.00042792578460648656,0.00046237700735218823,0.0004490492574404925,0.0005715620354749262,0.0005402962560765445,0.0004464907106012106,0.0005510225309990346,0.000555944861844182,0.0004274913517292589,0.0004046954563818872,0.0005552888615056872,0.0004587872826959938,0.0005480144754983485,0.0004046059912070632,0.00043052376713603735,0.0005320920026861131,0.000598638376686722,0.0005323512014001608,0.000394585746107623,0.0004892965080216527,0.0004106915439479053,0.0004928495036438107,0.00044374974095262587,0.0004092113522347063,0.0004454091831576079,0.00043168256524950266,0.000521777372341603,0.0004458178300410509,0.00048682099441066384,0.0005465337890200317,0.00047499703941866755,0.0005167327472008765,0.0005701073678210378
